Agency,SideID,Date,Discharge cfs,Data Quality,discharge m3/s
USGS,11252275,3/1/16,,,0
USGS,11252275,3/2/16,,,0
USGS,11252275,3/3/16,,,0
USGS,11252275,3/4/16,,,0
USGS,11252275,3/5/16,,,0
USGS,11252275,3/6/16,,,0
USGS,11252275,3/7/16,,,0
USGS,11252275,3/8/16,,,0
USGS,11252275,3/9/16,,,0
USGS,11252275,3/10/16,,,0
USGS,11252275,3/11/16,,,0
USGS,11252275,3/12/16,,,0
USGS,11252275,3/13/16,,,0
USGS,11252275,3/14/16,,,0
USGS,11252275,3/15/16,,,0
USGS,11252275,3/16/16,,,0
USGS,11252275,3/17/16,,,0
USGS,11252275,3/18/16,,,0
USGS,11252275,3/19/16,,,0
USGS,11252275,3/20/16,,,0
USGS,11252275,3/21/16,,,0
USGS,11252275,3/22/16,,,0
USGS,11252275,3/23/16,,,0
USGS,11252275,3/24/16,,,0
USGS,11252275,3/25/16,,,0
USGS,11252275,3/26/16,,,0
USGS,11252275,3/27/16,,,0
USGS,11252275,3/28/16,,,0
USGS,11252275,3/29/16,,,0
USGS,11252275,3/30/16,,,0
USGS,11252275,3/31/16,,,0
USGS,11252275,4/1/16,,,0
USGS,11252275,4/2/16,,,0
USGS,11252275,4/3/16,,,0
USGS,11252275,4/4/16,,,0
USGS,11252275,4/5/16,,,0
USGS,11252275,4/6/16,,,0
USGS,11252275,4/7/16,,,0
USGS,11252275,4/8/16,,,0
USGS,11252275,4/9/16,,,0
USGS,11252275,4/10/16,,,0
USGS,11252275,4/11/16,,,0
USGS,11252275,4/12/16,,,0
USGS,11252275,4/13/16,,,0
USGS,11252275,4/14/16,,,0
USGS,11252275,4/15/16,,,0
USGS,11252275,4/16/16,,,0
USGS,11252275,4/17/16,,,0
USGS,11252275,4/18/16,,,0
USGS,11252275,4/19/16,,,0
USGS,11252275,4/20/16,,,0
USGS,11252275,4/21/16,,,0
USGS,11252275,4/22/16,,,0
USGS,11252275,4/23/16,,,0
USGS,11252275,4/24/16,,,0
USGS,11252275,4/25/16,,,0
USGS,11252275,4/26/16,,,0
USGS,11252275,4/27/16,,,0
USGS,11252275,4/28/16,,,0
USGS,11252275,4/29/16,,,0
USGS,11252275,4/30/16,,,0
USGS,11252275,5/1/16,,,0
USGS,11252275,5/2/16,,,0
USGS,11252275,5/3/16,,,0
USGS,11252275,5/4/16,,,0
USGS,11252275,5/5/16,,,0
USGS,11252275,5/6/16,,,0
USGS,11252275,5/7/16,,,0
USGS,11252275,5/8/16,,,0
USGS,11252275,5/9/16,,,0
USGS,11252275,5/10/16,,,0
USGS,11252275,5/11/16,,,0
USGS,11252275,5/12/16,,,0
USGS,11252275,5/13/16,,,0
USGS,11252275,5/14/16,,,0
USGS,11252275,5/15/16,,,0
USGS,11252275,5/16/16,,,0
USGS,11252275,5/17/16,,,0
USGS,11252275,5/18/16,,,0
USGS,11252275,5/19/16,,,0
USGS,11252275,5/20/16,,,0
USGS,11252275,5/21/16,,,0
USGS,11252275,5/22/16,,,0
USGS,11252275,5/23/16,,,0
USGS,11252275,5/24/16,,,0
USGS,11252275,5/25/16,,,0
USGS,11252275,5/26/16,,,0
USGS,11252275,5/27/16,,,0
USGS,11252275,5/28/16,,,0
USGS,11252275,5/29/16,,,0
USGS,11252275,5/30/16,,,0
USGS,11252275,5/31/16,,,0
USGS,11252275,6/1/16,,,0
USGS,11252275,6/2/16,,,0
USGS,11252275,6/3/16,,,0
USGS,11252275,6/4/16,,,0
USGS,11252275,6/5/16,,,0
USGS,11252275,6/6/16,,,0
USGS,11252275,6/7/16,,,0
USGS,11252275,6/8/16,,,0
USGS,11252275,6/9/16,,,0
USGS,11252275,6/10/16,,,0
USGS,11252275,6/11/16,,,0
USGS,11252275,6/12/16,,,0
USGS,11252275,6/13/16,,,0
USGS,11252275,6/14/16,,,0
USGS,11252275,6/15/16,,,0
USGS,11252275,6/16/16,,,0
USGS,11252275,6/17/16,,,0
USGS,11252275,6/18/16,,,0
USGS,11252275,6/19/16,,,0
USGS,11252275,6/20/16,,,0
USGS,11252275,6/21/16,,,0
USGS,11252275,6/22/16,,,0
USGS,11252275,6/23/16,,,0
USGS,11252275,6/24/16,,,0
USGS,11252275,6/25/16,,,0
USGS,11252275,6/26/16,,,0
USGS,11252275,6/27/16,,,0
USGS,11252275,6/28/16,,,0
USGS,11252275,6/29/16,,,0
USGS,11252275,6/30/16,,,0
USGS,11252275,7/1/16,,,0
USGS,11252275,7/2/16,,,0
USGS,11252275,7/3/16,,,0
USGS,11252275,7/4/16,,,0
USGS,11252275,7/5/16,,,0
USGS,11252275,7/6/16,,,0
USGS,11252275,7/7/16,,,0
USGS,11252275,7/8/16,,,0
USGS,11252275,7/9/16,,,0
USGS,11252275,7/10/16,,,0
USGS,11252275,7/11/16,,,0
USGS,11252275,7/12/16,,,0
USGS,11252275,7/13/16,,,0
USGS,11252275,7/14/16,,,0
